"economic_object_code","economic_object_code_descn"
"1161","Non-ferrous metals"
"1163","Cutlery"
"1164","Miscellaneous metal products"
"1171","Medical supplies, instruments, and apparatus"
"1172","Office and stationers supplies"
"1173","House furnishing, excluding furniture"
"1174","Horticultural products"
"1175","Precious metals and stones and its products"
"1176","Glass or glass products"
"1179","Miscellaneous manufactured articles"
"1181","Purchased intangibles"
"1182","Carbon Credits, Environmental Attributes and Other Environmental Instruments"
"1211","Special industry machinery"
"1212","Tools and implements"
"1219","Other machinery and parts"
"1223","Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)"
"1282","Computer equipment related to Production and Operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)"
"1283","Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals)"
"1284","Client software related to Distributed Computing Environment (DCE)"
"1285","Application software (including COTS) and application development and delivery software"
"1286","Operating system and utility software related to servers, storage, peripherals and components"
"1287","Networking software"
"1289","Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
"1291","Image/Video communications software (includes telepresence/video conferencing software)"
"1231","Office furniture and furnishings, including parts"
"1239","Other office equipment and parts"
"1241","Plumbing equipment and fittings, including parts"
"1242","Electric lighting, distribution and control equipment and Parts"
"1243","Measuring, controlling, laboratory, medical and optical equipment and parts"
"1244","Radar equipment and parts"
"1245","Safety and sanitation equipment and parts"
"1246","Other furniture and fixtures including parts"
"1249","Other equipment and Parts"
"1250","Aircraft"
"1251","Aircraft parts"
"1252","Mobile service system"
"1253","Satellite and spacecraft acquisition and parts"
"1256","Ships and boats"
"1257","Ships and boats Parts"
"1261","Road motor vehicles"
"1263","Road motor vehicles parts"
"1264","Other vehicles"
"1267","Miscellaneous vehicles parts, including tires and tubes"
"1271","Weapons (including parts)"
"1273","Ammunition"
"1299","Acquisition of machinery and equipment - Reallocation of capital expenditures"
"1301","Acquisition of land"
"1310","Marine installations"
"1316","Roads, highways and airport runways"
"1335","Bridges, trestles, culverts, overpasses and viaducts"
"1339","Other engineering works"
"1340","Office buildings"
"1343","Commercial buildings"
"1350","Industrial buildings"
"1356","Schools and other educational buildings"
"1357","Hospitals, sanatoria, clinics and first-aid stations"
"1358","Other institutional buildings"
"1360","Buildings or installations for telecommunications, computer and/or office systems"
"1362","Passenger terminals - Air, bus, boat, train and other"
"1363","Armouries, barracks, drill halls, etc."
"1364","Laboratories"
"1369","Other non-residential buildings"
"1370","Residential buildings"
"1399","Acquisition of land, buildings and works - Reallocation of capital expenditures"
"2001","Old age security payments"
"2011","Pensions World Wars I and II"
"2012","War Veterans' allowances"
"2013","Pensions to former government employees not entitled under current superannuation acts"
"2014","Payments to former civilians and uniformed personnel"
"2019","Other payments for pensions"
"2022","Assistance to persons to encourage employment"
"2023","Payments relating to improvement and promotion of employability of individuals"
"2029","Other transfer payments to persons for promotion of employment"
"2032","Payments to Aboriginal people"
"2035","Assistance to immigrants and refugees"
"2041","Transfer payments to persons for research and development (including scholarships)"
"2049","Other non-recoverable payments to persons"
"2051","Recoverable payments to persons"
"2055","Contingency recoverable payments to persons"
"2057","Child tax benefit"
"2060","Goods and services tax (GST) credit to persons"
"2102","Transfer payments to industry for the benefit of producers under the Farm Income Protection Act"
"2103","Payments under agricultural income disaster assistance (AIDA)"
"2107","Miscellaneous agricultural subsidies"
"2120","Other freight rate subsidies to industry"
"2122","Steamship subsidies"
"2125","Assistance to industry to encourage employment"
"2126","Subsidy payments to industry for research and development"
"2127","Payments to industry under loan guarantees"
"2130","Payments for the Confederation Bridge"
"2132","Payments to Aboriginal corporations"
"2133","Payments to financial institutions under the Canada Students Loan Act and Canada Student Financial Assistance Act"
"2135","Clean Economy Investment Tax Credits"
"2139","Other non-recoverable subsidies to industry"
"2151","Recoverable subsidy payments to industry"
"2155","Contingency - Recoverable subsidy payments to industry"
"2170","Transfer payments to industry for Research and Development"
"2171","Transfer payments to the defence industry for capital assistance"
"2174","Payments to industry under industrial and regional development"
"2178","Energy conservation projects"
"2179","Other Non-recoverable Transfer payments to industry for Capital Assistance"
"2181","Recoverable payments to industry for capital assistance"
"2185","Contingency - Recoverable payments to industry for capital assistance"
"2212","Payments for official languages to provinces and territories"
"2214","Alternative payments to provinces under the Canada Student Financial Assistance Act"
"2215","Payments to Quebec for Cree and Inuit education"
"2216","Payments to non-native educational institutions"
"2217","Payments to non-native school boards"
"2218","Special payments to provinces under the Apprentice Loans Act"
"2219","Other Transfer payments to provinces and territories for Education"
"2221","Payments to provinces and territories under taxation agreements"
"2223","Statutory grants to provinces and territories (authorized under the Constitution Acts)"
"2232","Canada Health and Social Transfer payments"
"2233","Alternative payments to provinces and territories for standing programs"
"2239","Other Fiscal Transfer payments to provinces and territories"
"2241","Payments to provinces and territories for services to young offenders"
"2243","Payments for legal aid systems to provinces and territories"
"2244","Payments for environmental projects to provinces and territories"
"2245","Crop insurance payments to provinces and territories"
"2247","Assistance to provinces and territories to encourage employment"
"2248","Canada - Nova Scotia Offshore Revenue Account and Fiscal equalization Offshore Petroleum Resource Accord"
"2249","Payments to provinces and territories for provincial highways, secondary and access roads"
"2250","Transfer payments to territories for operating expenditures"
"2253","Canada/Quebec accord on immigration"
"2254","Canada/Newfoundland Development Fund"
"2255","Payments to provinces under Canada Infrastructure Program"
"2257","Development initiatives paid to provinces and territories under the general development and subsidiary agreements"
"2259","Other Transfer payments to provinces and territories"
"2301","Purchase of goods for development assistance"
"2302","Purchase of services for development assistance"
"2303","Payments for development assistance to Canadian non-government organizations"
